,City ,State ,Cert ,Acquiring Institution ,Fund,"Bank Name, City, State",Closing Date,Approx. Asset (Millions),Approx. Deposit (Millions),Bank Name,Country
104,Doraville,GA,34046,Metro City Bank,10428,"Global Commerce Bank, Doraville, GA",2-Mar-12,$143.70 ,$116.80 ,Global Commerce Bank,US
105,Little Falls,MN,29178,No Acquirer,10427,"Home Savings of America, Little Falls, MN",24-Feb-12,$434.10 ,$432.20 ,Home Savings of America,US
106,Ellaville,GA,5687,Ameris Bank,10426,"Central Bank of Georgia, Ellaville, GA",24-Feb-12,$278.90 ,$266.60 ,Central Bank of Georgia,US
107,Shelbyville,IN,29761,"First Merchants Bank, National Association",10425,"SCB Bank, Shelbyville, IN",10-Feb-12,$182.60 ,$171.60 ,SCB Bank,US
108,Hoffman Estates,IL,23187,"Barrington Bank & Trust Company, National Association",10424,"Charter National Bank and Trust, Hoffman Estates, IL",10-Feb-12,$93.90 ,$89.50 ,Charter National Bank and Trust,US
109,Knoxville,TN,19869,"U.S. Bank, N.A.",10420,"BankEast, Knoxville, TN",27-Jan-12,$272.60 ,$268.80 ,BankEast,US
110,Forest Lake,MN,34823,First Resource Bank,10422,"Patriot Bank Minnesota, Forest Lake, MN",27-Jan-12,$111.30 ,$108.30 ,Patriot Bank Minnesota,US
111,Franklin,TN,35296,Republic Bank & Trust Company,10423,"Tennessee Commerce Bank, Franklin, TN",27-Jan-12,"$1,185.00 ","$1,156.00 ",Tennessee Commerce Bank,US
112,Jacksonville,FL,16579,"CenterState Bank of Florida, N.A.",10421,"First Guaranty Bank and Trust Company of Jacksonville, Jacksonville, FL",27-Jan-12,$377.90 ,$349.50 ,First Guaranty Bank and Trust Company of Jacksonville,US
113,Boothwyn,PA,31581,"Capital Bank, N.A.",10417,"American Eagle Savings Bank, Boothwyn, PA",20-Jan-12,$19.60 ,$17.70 ,American Eagle Savings Bank,US
114,Stockbridge,GA,19252,Hamilton State Bank,10419,"The First State Bank, Stockbridge, GA",20-Jan-12,$536.90 ,$527.50 ,The First State Bank,US
115,Belleview,FL,57186,"CenterState Bank of Florida, N.A.",10418,"Central Florida State Bank, Belleview, FL",20-Jan-12,$79.10 ,$77.70 ,Central Florida State Bank,US
116,Phoenix,AZ,57917,Washington Federal,10416,"Western National Bank, Phoenix, AZ",16-Dec-11,$162.90 ,$144.50 ,Western National Bank,US
117,Crestview,FL,58343,Summit Bank,10415,"Premier Community Bank of the Emerald Coast, Crestview, FL",16-Dec-11,$126.00 ,$112.10 ,Premier Community Bank of the Emerald Coast,US
118,Lacombe,LA,19657,First NBC Bank,10413,"Central Progressive Bank, Lacombe, LA",18-Nov-11,$383.10 ,$347.70 ,Central Progressive Bank,US
119,Johnston,IA,14194,Grinnell State Bank,10414,"Polk County Bank, Johnston, IA",18-Nov-11,$91.60 ,$82.00 ,Polk County Bank,US
120,Rockmart,GA,57860,Century Bank of Georgia,10412,"Community Bank of Rockmart, Rockmart, GA",10-Nov-11,$62.40 ,$55.90 ,Community Bank of Rockmart,US
121,Saint George,UT,57087,Cache Valley Bank,10411,"SunFirst Bank, Saint George, UT",4-Nov-11,$198.10 ,$169.10 ,SunFirst Bank,US
122,Des Plaines,IL,57759,International Bank of Chicago,10409,"All American Bank, Des Plaines, IL",28-Oct-11,$37.80 ,$33.40 ,All American Bank,US
123,Greenwood Village,CO,21132,"Bank Midwest, N.A.",10405,"Community Banks of Colorado, Greenwood Village, CO",21-Oct-11,"$1,380.00 ","$1,330.00 ",Community Banks of Colorado,US
124,Jonesboro,GA,57036,State Bank and Trust Company,10406,"Community Capital Bank, Jonesboro, GA",21-Oct-11,$181.20 ,$166.20 ,Community Capital Bank,US
125,Decatur,GA,34392,Fidelity Bank,10407,"Decatur First Bank, Decatur, GA",21-Oct-11,$191.50 ,$179.20 ,Decatur First Bank,US
126,Clearwater,FL,57537,1st United Bank,10408,"Old Harbor Bank, Clearwater, FL",21-Oct-11,$215.90 ,$217.80 ,Old Harbor Bank,US
127,Aledo,IL,35395,Blackhawk Bank & Trust,10402,"Country Bank, Aledo, IL",14-Oct-11,$190.60 ,$167.50 ,Country Bank,US
128,Cranford,NJ,58046,Northfield Bank,10403,"First State Bank, Cranford, NJ",14-Oct-11,$204.40 ,$201.20 ,First State Bank,US
129,Gray,GA,57256,State Bank and Trust Company,10404,"Piedmont Community Bank, Gray, GA",14-Oct-11,$201.70 ,$181.40 ,Piedmont Community Bank,US
130,Ellington,MO,20115,Great Southern Bank,10400,"Sun Security Bank, Ellington, MO",7-Oct-11,$355.90 ,$290.40 ,Sun Security Bank,US
131,Wyoming,MN,10216,Central Bank,10399,"The RiverBank, Wyoming, MN",7-Oct-11,$417.40 ,$379.30 ,The RiverBank,US
132,Plano,TX,33513,American First National Bank,10398,"First International Bank, Plano, TX",30-Sep-11,$239.90 ,$208.80 ,First International Bank,US
133,Nevada City,CA,33983,Tri Counties Bank,10397,"Citizens Bank of Northern California, Nevada City, CA",23-Sep-11,$288.80 ,$253.10 ,Citizens Bank of Northern California,US
134,Norfolk,VA,20408,Southern Bank and Trust Company,10396,"Bank of the Commonwealth, Norfolk, VA",23-Sep-11,$985.10 ,$901.80 ,Bank of the Commonwealth,US
135,Woodstock,GA,58226,Georgia Commerce Bank,10393,"CreekSide Bank, Woodstock, GA",2-Sep-11,$102.30 ,$96.60 ,CreekSide Bank,US
136,Cumming,GA,58273,Georgia Commerce Bank,10394,"Patriot Bank of Georgia, Cumming, GA",2-Sep-11,$150.80 ,$111.20 ,Patriot Bank of Georgia,US
137,Geneva,IL,57212,Inland Bank & Trust,10390,"First Choice Bank, Geneva, IL",19-Aug-11,$141.00 ,$137.20 ,First Choice Bank,US
138,Statesboro,GA,57239,Heritage Bank of the South,10391,"First Southern National Bank, Statesboro, GA",19-Aug-11,$164.60 ,$159.70 ,First Southern National Bank,US
139,Palm Beach,FL,35356,"Sabadell United Bank, N.A.",10392,"Lydian Private Bank, Palm Beach, FL",19-Aug-11,"$1,700.00 ","$1,240.00 ",Lydian Private Bank,US
140,Huntingdon Valley,PA,34130,"Capital Bank, N.A.",10389,"Public Savings Bank, Huntingdon Valley, PA",18-Aug-11,$46.80 ,$45.80 ,Public Savings Bank,US
141,Olathe,KS,4744,Enterprise Bank & Trust,10388,"The First National Bank of Olathe, Olathe, KS",12-Aug-11,$538.10 ,$524.30 ,The First National Bank of Olathe,US
142,Colfax,WA,22528,Columbia State Bank,10387,"Bank of Whitman, Colfax, WA",5-Aug-11,$548.60 ,$515.70 ,Bank of Whitman,US
143,Shorewood,IL,22637,Heartland Bank and Trust Company,10386,"Bank of Shorewood, Shorewood, IL",5-Aug-11,$110.70 ,$104.00 ,Bank of Shorewood,US
144,Evansville,IN,4392,Old National Bank,10384,"Integra Bank National Association, Evansville, IN",29-Jul-11,"$2,200.00 ","$1,900.00 ",Integra Bank National Association,US
145,Richmond,VA,58283,Xenith Bank,10385,"Virginia Business Bank, Richmond, VA",29-Jul-11,$95.80 ,$85.00 ,Virginia Business Bank,US
146,Greeley,CO,2994,"Bank Midwest, N.A.",10380,"Bank of Choice, Greeley, CO",22-Jul-11,"$1,070.00 ",$924.90 ,Bank of Choice,US
147,Sarasota,FL,35244,American Momentum Bank,10381,"LandMark Bank of Florida, Sarasota, FL",22-Jul-11,$275.00 ,$246.70 ,LandMark Bank of Florida,US
148,Apollo Beach,FL,58056,American Momentum Bank,10382,"Southshore Community Bank, Apollo Beach, FL",22-Jul-11,$46.30 ,$45.30 ,Southshore Community Bank,US
149,Prescott,AZ,57442,The Foothills Bank,10379,"Summit Bank, Prescott, AZ",15-Jul-11,$72.00 ,$66.40 ,Summit Bank,US
150,Port St. Lucie,FL,34870,"Premier American Bank, N.A.",10376,"First Peoples Bank, Port St. Lucie, FL",15-Jul-11,$228.30 ,$209.70 ,First Peoples Bank,US
151,Stockbridge,GA,19554,Ameris Bank,10377,"High Trust Bank, Stockbridge, GA",15-Jul-11,$192.50 ,$189.50 ,High Trust Bank,US
152,Atlanta,GA,58238,Ameris Bank,10378,"One Georgia Bank, Atlanta, GA",15-Jul-11,$186.30 ,$162.10 ,One Georgia Bank,US
153,Windsor,CO,57835,Points West Community Bank,10375,"Signature Bank, Windsor, CO",8-Jul-11,$66.70 ,$64.50 ,Signature Bank,US
154,Castle Rock,CO,34522,First-Citizens Bank & Trust Company,10373,"Colorado Capital Bank, Castle Rock, CO",8-Jul-11,$717.50 ,$672.80 ,Colorado Capital Bank,US
155,Chicago,IL,27935,Northbrook Bank & Trust Company,10374,"First Chicago Bank & Trust, Chicago, IL",8-Jul-11,$959.30 ,$887.50 ,First Chicago Bank & Trust,US
156,Clayton,GA,57593,First American Bank and Trust Company,10372,"Mountain Heritage Bank, Clayton, GA",24-Jun-11,$103.70 ,$89.60 ,Mountain Heritage Bank,US
157,Tampa,FL,27583,Stonegate Bank,10370,"First Commercial Bank of Tampa Bay, Tampa, FL",17-Jun-11,$98.60 ,$92.60 ,First Commercial Bank of Tampa Bay,US
158,Jackson,GA,19237,Hamilton State Bank,10371,"McIntosh State Bank, Jackson, GA",17-Jun-11,$339.90 ,$324.40 ,McIntosh State Bank,US
159,Charleston,SC,58420,"First Citizens Bank and Trust Company, Inc.",10369,"Atlantic Bank and Trust, Charleston, SC",3-Jun-11,$208.20 ,$191.60 ,Atlantic Bank and Trust,US
160,Snohomish,WA,23626,Columbia State Bank,10368,"First Heritage Bank, Snohomish, WA",27-May-11,$173.50 ,$163.30 ,First Heritage Bank,US
161,Burlington,WA,513,Columbia State Bank,10367,"Summit Bank, Burlington, WA",20-May-11,$142.70 ,$131.60 ,Summit Bank,US
162,Franklin,GA,57647,"CertusBank, National Association",10366,"First Georgia Banking Company, Franklin, GA",20-May-11,$731.00 ,$702.20 ,First Georgia Banking Company,US
163,Macon,GA,57213,"CertusBank, National Association",10365,"Atlantic Southern Bank, Macon, GA",20-May-11,$741.90 ,$707.60 ,Atlantic Southern Bank,US
164,Cocoa Beach,FL,34898,"Florida Community Bank, a division of Premier American Bank, N.A.",10364,"Coastal Bank, Cocoa Beach, FL",6-May-11,$129.40 ,$123.90 ,Coastal Bank,US
165,Mount Clemens,MI,34234,Talmer Bank & Trust,10359,"Community Central Bank, Mount Clemens, MI",29-Apr-11,$476.30 ,$385.40 ,Community Central Bank,US
166,Valdosta,GA,19797,Bank of the Ozarks,10363,"The Park Avenue Bank, Valdosta, GA",29-Apr-11,$953.30 ,$827.70 ,The Park Avenue Bank,US
167,Dallas,GA,58539,Bank of the Ozarks,10361,"First Choice Community Bank, Dallas, GA",29-Apr-11,$308.50 ,$310.00 ,First Choice Community Bank,US
168,Brooksville,FL,57625,"Florida Community Bank, a division of Premier American Bank, N.A.",10360,"Cortez Community Bank, Brooksville, FL",29-Apr-11,$70.90 ,$61.40 ,Cortez Community Bank,US
169,Winter Park,FL,26297,"Florida Community Bank, a division of Premier American Bank, N.A.",10362,"First National Bank of Central Florida, Winter Park, FL",29-Apr-11,$352.00 ,$312.10 ,First National Bank of Central Florida,US
170,Carthage,MS,14273,Trustmark National Bank,10354,"Heritage Banking Group, Carthage, MS",15-Apr-11,$224.00 ,$196.20 ,Heritage Banking Group,US
171,Rosemount,MN,24099,Central Bank,10357,"Rosemount National Bank, Rosemount, MN",15-Apr-11,$37.60 ,$36.60 ,Rosemount National Bank,US
172,Birmingham,AL,17750,"Superior Bank, National Association",10358,"Superior Bank, Birmingham, AL",15-Apr-11,"$3,000.00 ","$2,700.00 ",Superior Bank,US
173,Birmingham,AL,19794,AloStar Bank of Commerce,10356,"Nexity Bank, Birmingham, AL",15-Apr-11,$793.70 ,$637.80 ,Nexity Bank,US
174,East Ellijay,GA,57705,Citizens South Bank,10355,"New Horizons Bank, East Ellijay, GA",15-Apr-11,$110.70 ,$106.10 ,New Horizons Bank,US
175,Cartersville,GA,21495,Hamilton State Bank,10353,"Bartow County Bank, Cartersville, GA",15-Apr-11,$330.20 ,$304.10 ,Bartow County Bank,US
176,Las Vegas,NV,35418,City National Bank,10351,"Nevada Commerce Bank, Las Vegas, NV",8-Apr-11,$144.90 ,$136.40 ,Nevada Commerce Bank,US
177,Western Springs,IL,10086,Heartland Bank and Trust Company,10352,"Western Springs National Bank and Trust, Western Springs, IL",8-Apr-11,$186.80 ,$181.90 ,Western Springs National Bank and Trust,US
178,Wood Dale,IL,34292,Advantage National Bank Group,10350,"The Bank of Commerce, Wood Dale, IL",25-Mar-11,$163.10 ,$161.40 ,The Bank of Commerce,US
179,Milwaukee,WI,34818,Seaway Bank and Trust Company,10348,"Legacy Bank, Milwaukee, WI",11-Mar-11,$190.40 ,$183.30 ,Legacy Bank,US
180,St. Charles,IL,34187,First State Bank,10347,"Valley Community Bank, St. Charles, IL",25-Feb-11,$123.80 ,$124.20 ,Valley Community Bank,US
181,Napa,CA,57855,Bank of Marin,10343,"Charter Oak Bank, Napa, CA",18-Feb-11,$120.80 ,$105.30 ,Charter Oak Bank,US
182,Springfield,GA,34601,Heritage Bank of the South,10344,"Citizens Bank of Effingham, Springfield, GA",18-Feb-11,$214.30 ,$206.50 ,Citizens Bank of Effingham,US
183,Clarkesville,GA,151,SCBT National Association,10345,"Habersham Bank, Clarkesville, GA",18-Feb-11,$387.60 ,$339.90 ,Habersham Bank,US
184,Palm Springs,CA,34692,Pacific Premier Bank,10340,"Canyon National Bank, Palm Springs, CA",11-Feb-11,$210.90 ,$205.30 ,Canyon National Bank,US
185,Cassville,WI,13272,Royal Bank,10339,"Badger State Bank, Cassville, WI",11-Feb-11,$83.80 ,$78.50 ,Badger State Bank,US
186,Hamtramck,MI,14939,First Michigan Bank,10341,"Peoples State Bank, Hamtramck, MI",11-Feb-11,$390.50 ,$389.90 ,Peoples State Bank,US
187,Port Orange,FL,35478,"Premier American Bank, N.A.",10342,"Sunshine State Community Bank, Port Orange, FL",11-Feb-11,$125.50 ,$116.70 ,Sunshine State Community Bank,US
188,Watkinsville,GA,35242,BankSouth,10338,"North Georgia Bank, Watkinsville, GA",4-Feb-11,$153.20 ,$139.70 ,North Georgia Bank,US
189,Roswell,GA,57432,Renasant Bank,10336,"American Trust Bank, Roswell, GA",4-Feb-11,$238.20 ,$222.20 ,American Trust Bank,US
190,Taos,NM,12261,"U.S. Bank, N.A.",10333,"First Community Bank, Taos, NM",28-Jan-11,"$2,310.00 ","$1,940.00 ",First Community Bank,US
191,Louisville,CO,57646,No Acquirer,10334,"FirsTier Bank, Louisville, CO",28-Jan-11,$781.50 ,$722.80 ,FirsTier Bank,US
192,Stoughton,WI,5328,McFarland State Bank,10332,"Evergreen State Bank, Stoughton, WI",28-Jan-11,$246.50 ,$195.20 ,Evergreen State Bank,US
193,Camargo,OK,2303,Bank 7,10335,"The First State Bank, Camargo, OK",28-Jan-11,$43.50 ,$40.30 ,The First State Bank,US
194,Denver,CO,31293,First-Citizens Bank & Trust Company,10331,"United Western Bank, Denver, CO",21-Jan-11,"$2,050.00 ","$1,650.00 ",United Western Bank,US
195,Asheville,NC,34516,First Bank,10330,"The Bank of Asheville, Asheville, NC",21-Jan-11,$195.10 ,$188.30 ,The Bank of Asheville,US
196,McDonough,GA,19758,No Acquirer,10329,"Enterprise Banking Company, McDonough, GA",21-Jan-11,$100.90 ,$95.50 ,Enterprise Banking Company,US
197,Brunswick,GA,57440,Bank of the Ozarks,10327,"Oglethorpe Bank, Brunswick, GA",14-Jan-11,$230.60 ,$212.70 ,Oglethorpe Bank,US
198,Scottsdale,AZ,57820,Enterprise Bank & Trust,10326,"Legacy Bank, Scottsdale, AZ",7-Jan-11,$150.60 ,$125.90 ,Legacy Bank,US
199,Orlando,FL,34965,First Southern Bank,10325,"First Commercial Bank of Florida, Orlando, FL",7-Jan-11,$598.50 ,$529.60 ,First Commercial Bank of Florida,US
200,Lino Lakes,MN,23306,Farmers & Merchants Savings Bank,10321,"Community National Bank, Lino Lakes, MN",17-Dec-10,$31.60 ,$28.80 ,Community National Bank,US
201,Batesville,AR,58052,Southern Bank,10322,"First Southern Bank, Batesville, AR",17-Dec-10,$191.80 ,$155.80 ,First Southern Bank,US
202,Dawsonville,GA,34578,Bank of the Ozarks,10320,"Chestatee State Bank, Dawsonville, GA",17-Dec-10,$244.40 ,$240.50 ,Chestatee State Bank,US
203,Southampton,PA,35561,Polonia Bank,10317,"Earthstar Bank, Southampton, PA",10-Dec-10,$112.60 ,$104.50 ,Earthstar Bank,US
204,Farmington Hills,MI,34673,Level One Bank,10318,"Paramount Bank, Farmington Hills, MI",10-Dec-10,$252.70 ,$213.60 ,Paramount Bank,US
205,Burlington,WI,5287,First Michigan Bank,10315,"First Banking Center, Burlington, WI",19-Nov-10,$750.70 ,$664.80 ,First Banking Center,US
206,Bala Cynwyd,PA,35078,VIST Bank,10314,"Allegiance Bank of North America, Bala Cynwyd, PA",19-Nov-10,$106.60 ,$92.00 ,Allegiance Bank of North America,US
207,Carrabelle,FL,20340,Centennial Bank,10316,"Gulf State Community Bank, Carrabelle, FL",19-Nov-10,$112.10 ,$112.20 ,Gulf State Community Bank,US
208,Scottsdale,AZ,35463,"Stearns Bank, N.A.",10311,"Copper Star Bank, Scottsdale, AZ",12-Nov-10,$204.00 ,$190.20 ,Copper Star Bank,US
209,Vidalia,GA,14580,Ameris Bank,10312,"Darby Bank & Trust Co., Vidalia, GA",12-Nov-10,$654.70 ,$587.60 ,Darby Bank & Trust Co.,US
210,Tifton,GA,57831,Ameris Bank,10313,"Tifton Banking Company, Tifton, GA",12-Nov-10,$143.70 ,$141.60 ,Tifton Banking Company,US
211,Westminster,CA,57885,Grandpoint Bank,10307,"First Vietnamese American Bank, Westminster, CA",5-Nov-10,$48.00 ,$47.00 ,First Vietnamese American Bank,US
212,Tacoma,WA,34411,Heritage Bank,10309,"Pierce Commercial Bank, Tacoma, WA",5-Nov-10,$221.10 ,$193.50 ,Pierce Commercial Bank,US
213,Woodland Hills,CA,58087,First California Bank,10310,"Western Commercial Bank, Woodland Hills, CA",5-Nov-10,$98.60 ,$101.10 ,Western Commercial Bank,US
214,Randallstown,MD,31263,Manufacturers and Traders Trust Company (M&T Bank),10308,"K Bank, Randallstown, MD",5-Nov-10,$538.30 ,$500.10 ,K Bank,US
215,Overland Park,KS,22173,"Hillcrest Bank, N.A.",10302,"Hillcrest Bank, Overland Park, KS",22-Oct-10,"$1,650.00 ","$1,540.00 ",Hillcrest Bank,US
216,Maywood,IL,16089,Seaway Bank and Trust Company,10301,"First Suburban National Bank, Maywood, IL",22-Oct-10,$148.70 ,$140.00 ,First Suburban National Bank,US
217,Barnesville,GA,2119,United Bank,10304,"The First National Bank of Barnesville, Barnesville, GA",22-Oct-10,$131.40 ,$127.10 ,The First National Bank of Barnesville,US
218,Gordon,GA,33904,Morris Bank,10305,"The Gordon Bank, Gordon, GA",22-Oct-10,$29.40 ,$26.70 ,The Gordon Bank,US
219,Tampa,FL,32251,Bay Cities Bank,10303,"Progress Bank of Florida, Tampa, FL",22-Oct-10,$110.70 ,$101.30 ,Progress Bank of Florida,US
220,Jacksonville,FL,27573,Ameris Bank,10300,"First Bank of Jacksonville, Jacksonville, FL",22-Oct-10,$81.00 ,$77.30 ,First Bank of Jacksonville,US
221,Jefferson City,MO,34016,Providence Bank,10297,"Premier Bank, Jefferson City, MO",15-Oct-10,"$1,180.00 ","$1,030.00 ",Premier Bank,US
222,Chesterfield,MO,58205,Midland States Bank,10299,"WestBridge Bank and Trust Company, Chesterfield, MO",15-Oct-10,$91.50 ,$72.50 ,WestBridge Bank and Trust Company,US
223,Shoreline,WA,35250,GBC International Bank,10295,"Shoreline Bank, Shoreline, WA",1-Oct-10,$104.20 ,$100.20 ,Shoreline Bank,US
224,Crawfordville,FL,21777,Centennial Bank,10296,"Wakulla Bank, Crawfordville, FL",1-Oct-10,$424.10 ,$386.30 ,Wakulla Bank,US
225,Arlington,WA,35053,Whidbey Island Bank,10294,"North County Bank, Arlington, WA",24-Sep-10,$288.80 ,$276.10 ,North County Bank,US
226,Ponte Vedra Beach,FL,58308,First Southern Bank,10293,"Haven Trust Bank Florida, Ponte Vedra Beach, FL",24-Sep-10,$148.60 ,$133.60 ,Haven Trust Bank Florida,US
227,West Allis,WI,28612,"North Shore Bank, FSB",10291,"Maritime Savings Bank, West Allis, WI",17-Sep-10,$350.50 ,$248.10 ,Maritime Savings Bank,US
228,Milford,OH,27808,Foundation Bank,10288,"Bramble Savings Bank, Milford, OH",17-Sep-10,$47.50 ,$41.60 ,Bramble Savings Bank,US
229,Winder,GA,182,Community & Southern Bank,10292,"The Peoples Bank, Winder, GA",17-Sep-10,$447.20 ,$398.20 ,The Peoples Bank,US
230,Douglasville,GA,57448,Community & Southern Bank,10289,"First Commerce Community Bank, Douglasville, GA",17-Sep-10,$248.20 ,$242.80 ,First Commerce Community Bank,US
231,Ellijay,GA,58197,Community & Southern Bank,10287,"Bank of Ellijay, Ellijay, GA",17-Sep-10,$168.80 ,$160.70 ,Bank of Ellijay,US
232,Cherry Hill,NJ,57107,Customers Bank,10290,"ISN Bank, Cherry Hill, NJ",17-Sep-10,$81.60 ,$79.70 ,ISN Bank,US
233,Bradenton,FL,35061,Bank of the Ozarks,10286,"Horizon Bank, Bradenton, FL",10-Sep-10,$187.80 ,$164.60 ,Horizon Bank,US
234,Sonoma,CA,27259,Westamerica Bank,10285,"Sonoma Valley Bank, Sonoma, CA",20-Aug-10,$337.10 ,$255.50 ,Sonoma Valley Bank,US
235,Solvang,CA,32165,Pacific Western Bank,10282,"Los Padres Bank, Solvang, CA",20-Aug-10,$870.40 ,$770.70 ,Los Padres Bank,US
236,Chico,CA,33219,"Rabobank, N.A.",10278,"Butte Community Bank, Chico, CA",20-Aug-10,$498.80 ,$471.30 ,Butte Community Bank,US
237,Stockton,CA,27090,"Rabobank, N.A.",10283,"Pacific State Bank, Stockton, CA",20-Aug-10,$312.10 ,$278.80 ,Pacific State Bank,US
238,Chicago,IL,15640,Urban Partnership Bank,10284,"ShoreBank, Chicago, IL",20-Aug-10,"$2,160.00 ","$1,540.00 ",ShoreBank,US
239,Martinsville,VA,31623,"River Community Bank, N.A.",10280,"Imperial Savings and Loan Association, Martinsville, VA",20-Aug-10,$9.40 ,$10.10 ,Imperial Savings and Loan Association,US
240,Ocala,FL,27344,"CenterState Bank of Florida, N.A.",10281,"Independent National Bank, Ocala, FL",20-Aug-10,$156.20 ,$141.90 ,Independent National Bank,US
241,Bartow,FL,25266,"CenterState Bank of Florida, N.A.",10279,"Community National Bank at Bartow, Bartow, FL",20-Aug-10,$67.90 ,$63.70 ,Community National Bank at Bartow,US
242,Palos Heights,IL,17599,First Midwest Bank,10277,"Palos Bank and Trust Company, Palos Heights, IL",13-Aug-10,$493.40 ,$467.80 ,Palos Bank and Trust Company,US
243,Chicago,IL,34231,Northbrook Bank & Trust Company,10276,"Ravenswood Bank, Chicago, IL",6-Aug-10,$264.60 ,$269.50 ,Ravenswood Bank,US
244,Eugene,OR,31964,Home Federal Bank,10273,"LibertyBank, Eugene, OR",30-Jul-10,$768.20 ,$718.50 ,LibertyBank,US
245,Longview,WA,22643,Heritage Bank,10275,"The Cowlitz Bank, Longview, WA",30-Jul-10,$529.30 ,$513.90 ,The Cowlitz Bank,US
246,Panama City Beach,FL,9619,Centennial Bank,10272,"Coastal Community Bank, Panama City Beach, FL",30-Jul-10,$372.90 ,$363.20 ,Coastal Community Bank,US
247,Port Saint Joe,FL,57669,Centennial Bank,10271,"Bayside Savings Bank, Port Saint Joe, FL",30-Jul-10,$66.10 ,$52.40 ,Bayside Savings Bank,US
248,Cave Junction,OR,23181,South Valley Bank & Trust,10266,"Home Valley Bank, Cave Junction, OR",23-Jul-10,$251.80 ,$229.60 ,Home Valley Bank,US
249,Las Vegas,NV,35434,Plaza Bank,10267,"SouthwestUSA Bank, Las Vegas, NV",23-Jul-10,$214.00 ,$186.70 ,SouthwestUSA Bank,US
250,New Prague,MN,34486,Roundbank,10264,"Community Security Bank, New Prague, MN",23-Jul-10,$108.00 ,$99.70 ,Community Security Bank,US
251,Sylvan Grove,KS,10506,The Bennington State Bank,10269,"Thunder Bank, Sylvan Grove, KS",23-Jul-10,$32.60 ,$28.50 ,Thunder Bank,US
252,Kingstree,SC,17837,"First Citizens Bank and Trust Company, Inc.",10270,"Williamsburg First National Bank, Kingstree, SC",23-Jul-10,$139.30 ,$134.30 ,Williamsburg First National Bank,US
253,Jasper,GA,27559,Renasant Bank,10265,"Crescent Bank and Trust Company, Jasper, GA",23-Jul-10,"$1,010.00 ",$965.70 ,Crescent Bank and Trust Company,US
254,Lantana,FL,32536,IBERIABANK,10268,"Sterling Bank, Lantana, FL",23-Jul-10,$407.90 ,$372.40 ,Sterling Bank,US
255,Clewiston,FL,28864,"CenterState Bank of Florida, N.A.",10260,"Olde Cypress Community Bank, Clewiston, FL",16-Jul-10,$168.70 ,$162.40 ,Olde Cypress Community Bank,US
256,Aventura,FL,32280,NAFH National Bank,10261,"Turnberry Bank, Aventura, FL",16-Jul-10,$263.90 ,$196.90 ,Turnberry Bank,US
257,Miami,FL,25172,NAFH National Bank,10259,"Metro Bank of Dade County, Miami, FL",16-Jul-10,$442.30 ,$391.30 ,Metro Bank of Dade County,US
258,Spartanburg,SC,35383,NAFH National Bank,10263,"First National Bank of the South, Spartanburg, SC",16-Jul-10,$682.00 ,$610.10 ,First National Bank of the South,US
259,Bluffton,SC,32571,Bank of the Ozarks,10262,"Woodlands Bank, Bluffton, SC",16-Jul-10,$376.20 ,$355.30 ,Woodlands Bank,US
260,Blackwell,OK,11636,RCB Bank,10256,"Home National Bank, Blackwell, OK",9-Jul-10,$644.50 ,$560.70 ,Home National Bank,US
261,Port Chester,NY,58072,New Century Bank,10254,"USA Bank, Port Chester, NY",9-Jul-10,$193.30 ,$189.90 ,USA Bank,US
262,Baltimore,MD,32456,No Acquirer,10257,"Ideal Federal Savings Bank, Baltimore, MD",9-Jul-10,$6.30 ,$5.80 ,Ideal Federal Savings Bank,US
263,Baltimore,MD,35462,"Bay Bank, FSB",10255,"Bay National Bank, Baltimore, MD",9-Jul-10,$282.20 ,$276.10 ,Bay National Bank,US
264,Albuquerque,NM,35279,First American Bank,10252,"High Desert State Bank, Albuquerque, NM",25-Jun-10,$80.30 ,$81.00 ,High Desert State Bank,US
265,Savannah,GA,34152,"The Savannah Bank, N.A.",10251,"First National Bank, Savannah, GA",25-Jun-10,$252.50 ,$231.90 ,First National Bank,US
266,Englewood,FL,26563,"Premier American Bank, N.A.",10253,"Peninsula Bank, Englewood, FL",25-Jun-10,$644.30 ,$580.10 ,Peninsula Bank,US
267,Reno,NV,57110,Umpqua Bank,10250,"Nevada Security Bank, Reno, NV",18-Jun-10,$480.30 ,$479.80 ,Nevada Security Bank,US
268,Seattle,WA,32955,East West Bank,10249,"Washington First International Bank, Seattle, WA",11-Jun-10,$520.90 ,$441.40 ,Washington First International Bank,US
269,Lincoln,NE,29341,Great Western Bank,10248,"TierOne Bank, Lincoln, NE",4-Jun-10,"$2,800.00 ","$2,200.00 ",TierOne Bank,US
270,Arcola,IL,31813,No Acquirer,10246,"Arcola Homestead Savings Bank, Arcola, IL",4-Jun-10,$17.00 ,$18.10 ,Arcola Homestead Savings Bank,US
271,Rosedale,MS,15814,The Jefferson Bank,10247,"First National Bank, Rosedale, MS",4-Jun-10,$60.40 ,$63.50 ,First National Bank,US
272,Las Vegas,NV,34785,City National Bank,10245,"Sun West Bank, Las Vegas, NV",28-May-10,$360.70 ,$353.90 ,Sun West Bank,US
273,Naples,FL,35106,EverBank,10242,"Bank of Florida - Southwest, Naples, FL",28-May-10,$640.90 ,$559.90 ,Bank of Florida - Southwest,US
