,City ,State ,Cert ,Acquiring Institution ,Fund,"Bank Name, City, State",Closing Date,Approx. Asset (Millions),Approx. Deposit (Millions),Bank Name,Country
483,Alpharetta,GA,32575,ING DIRECT,10001,"NetBank, Alpharetta, GA",28-Sep-07,"$2,500.00 ","$2,300.00 ",NetBank,US
484,Ephraim,UT,1249,Far West Bank,4665,"Bank of Ephraim, Ephraim, UT",25-Jun-04,$46.40 ,$45.20 ,Bank of Ephraim,US
485,White Plains,NY,26778,Union State Bank,4664,"Reliance Bank, White Plains, NY",19-Mar-04,$30.30 ,$28.00 ,Reliance Bank,US
486,Tallahassee,FL,26838,Hancock Bank of Florida,4663,"Guaranty National Bank of Tallahassee, Tallahassee, FL",12-Mar-04,$74.10 ,$66.90 ,Guaranty National Bank of Tallahassee,US
487,Philadelphia,PA,27203,Earthstar Bank,4662,"Pulaski Savings Bank, Philadelphia, PA",14-Nov-03,$10.20 ,$9.20 ,Pulaski Savings Bank,US
488,Blanchardville,WI,11639,The Park Bank,4661,"First National Bank of Blanchardville, Blanchardville, WI",9-May-03,$35.00 ,$29.00 ,First National Bank of Blanchardville,US
489,Torrance,CA,27094,Beal Bank,4660,"Southern Pacific Bank, Torrance, CA",7-Feb-03,"$1,000.00 ",$864.70 ,Southern Pacific Bank,US
490,Alamo,TN,9961,No Acquirer,4658,"Bank of Alamo, Alamo, TN",8-Nov-02,$69.40 ,$55.30 ,Bank of Alamo,US
491,Atlanta,GA,33784,No Acquirer,4657,"AmTrade International Bank, Atlanta, GA",30-Sep-02,$12.00 ,$10.20 ,AmTrade International Bank,US
492,Chicago,IL,29355,Chicago Community Bank,6005,"Universal Federal Savings Bank, Chicago, IL",27-Jun-02,$51.60 ,$40.00 ,Universal Federal Savings Bank,US
493,Stamford,CT,19183,Hudson United Bank,4656,"Connecticut Bank of Commerce, Stamford, CT",26-Jun-02,$398.60 ,$323.70 ,Connecticut Bank of Commerce,US
494,Shelby Township,MI,34979,No Acquirer,4655,"New Century Bank, Shelby Township, MI",28-Mar-02,$19.00 ,$18.00 ,New Century Bank,US
495,Boca Raton,FL,26652,Bank Leumi USA,4654,"Net 1st National Bank, Boca Raton, FL",1-Mar-02,$34.70 ,$23.90 ,Net 1st National Bank,US
496,Sierra Blanca,TX,22002,The Security State Bank of Pecos,4651,"Bank of Sierra Blanca, Sierra Blanca, Texas",18-Jan-02,$10.80 ,$9.80 ,Bank of Sierra Blanca,US
497,Gravette,AR,34248,Delta Trust & Bank,4649,"Sinclair National Bank, Gravette, AR",7-Sep-01,$30.70 ,$25.70 ,Sinclair National Bank,US
